posession,quarter,event,special_type,location_description,result_description,away_score,home_score
away,3,,,1st and 10 at USU 36,Darell Garretson pass complete to Hunter Sharp for 56 yds to the BYU 8 for a 1ST down,,
away,3,,,1st and Goal at BYU 8,Joe Hill run for no gain to the BYU 8,,
away,3,,,2nd and Goal at BYU 8,"BYU Penalty, Roughing Passer (Jherremya Leuta-Douyere) to the BYU 4 for a 1ST down",,
away,3,,,1st and Goal at BYU 4,Joe Hill run for 3 yds to the BYU 1,,
away,3,,,2nd and Goal at BYU 1,"Nick Vigil run for 1 yd for a TD, (Nick Diaz KICK)",35,17
away,3,,,,"Jake Thompson kickoff for 59 yds , Paul Lasike return for 20 yds to the BYU 26",35,17
home,3,,,1st and 10 at BYU 26,Christian Stewart pass incomplete to Jordan Leslie,,
home,3,,,2nd and 10 at BYU 26,Christian Stewart pass incomplete to Terenn Houk,,
home,3,,,3rd and 10 at BYU 26,Christian Stewart pass intercepted Devin Centers return for 34 yds to the BYU 23,,
away,3,,,1st and 10 at BYU 23,Darell Garretson pass complete to JoJo Natson for a loss of 7 yards to the BYU 30,35,17
away,3,,,2nd and 17 at BYU 30,Joe Hill run for 3 yds to the BYU 27,,
,3,,,,"Timeout UTAH ST, clock 00:04",,
away,3,,,3rd and 14 at BYU 27,Darell Garretson pass incomplete,,
,,,,,End of 3rd Quarter,,
away,4,,,4th and 14 at BYU 27,Jake Thompson 44 yd FG MISSED,35,17
home,4,,,1st and 10 at BYU 27,"UTAH ST Penalty, Defensive Pass Interference (Rashard Stewart) to the BYU 42 for a 1ST down",35,17
home,4,,,1st and 10 at BYU 42,Christian Stewart run for 2 yds to the BYU 44,,
home,4,,,2nd and 8 at BYU 44,Christian Stewart run for 7 yds to the UthSt 49,,
home,4,,,3rd and 1 at USU 49,Paul Lasike run for 5 yds to the UthSt 44 for a 1ST down,,
home,4,,,1st and 10 at USU 44,Paul Lasike run for 1 yd to the UthSt 43,,
home,4,,,2nd and 9 at USU 43,Christian Stewart pass incomplete,,
home,4,,,3rd and 9 at USU 43,"UTAH ST Penalty, Defensive Pass Interference (11 Yards) to the UthSt 32 for a 1ST down",,
,4,,,,"Timeout UTAH ST, clock 13:15",,
home,4,,,1st and 10 at USU 32,Christian Stewart pass incomplete to Colby Pearson,,
home,4,,,2nd and 10 at USU 32,Christian Stewart pass complete to Adam Hine for 4 yds to the UthSt 28,,
home,4,,,3rd and 6 at USU 28,"Christian Stewart pass intercepted Frankie Sutera return for 21 yds to the UthSt 7 UTAH ST Penalty, Personal Foul (12 Yards) to the UthSt 14",,
away,4,,,1st and 10 at USU 14,Joe Hill run for 4 yds to the UthSt 18,35,17
away,4,,,2nd and 6 at USU 18,Nick Vigil run for 3 yds to the UthSt 21,,
away,4,,,3rd and 3 at USU 21,Joe Hill run for a loss of 2 yards to the UthSt 19,,
away,4,,,4th and 5 at USU 19,"Jaron Bentrude punt for 40 yds , Devon Blackmon returns for 1 yd to the BYU 42",,
home,4,,,1st and 10 at BYU 42,Christian Stewart pass incomplete to Jordan Leslie,35,17
home,4,,,2nd and 10 at BYU 42,Christian Stewart pass complete to Mitch Mathews for 28 yds to the UthSt 30 for a 1ST down,,
home,4,,,1st and 10 at USU 30,Christian Stewart pass incomplete to Jordan Leslie,,
home,4,,,2nd and 10 at USU 30,Jamaal Williams run for 20 yds to the UthSt 10 for a 1ST down,,
home,4,,,1st and Goal at USU 10,Christian Stewart pass incomplete to Mitch Mathews,,
home,4,,,2nd and Goal at USU 10,Christian Stewart pass incomplete to Terenn Houk,,
home,4,,,3rd and Goal at USU 10,Christian Stewart pass complete to Terenn Houk for 4 yds to the UthSt 6,,
home,4,,,4th and Goal at USU 6,Trevor Samson 24 yd FG GOOD,35,20
home,4,,,4th and 6 at BYU 35,"BYU Penalty, Offensive Offside (-5 Yards) to the BYU 30",,
home,4,,,,"Andrew Mikkelsen kickoff for 35 yds , Hayden Weichers return for no gain to the UthSt 30 BYU Penalty, Defensive Offside (-5 Yards) to the UthSt 40",35,20
away,4,,,1st and 10 at USU 40,Darell Garretson pass incomplete,,
away,4,,,2nd and 10 at USU 40,Darell Garretson pass incomplete to Hunter Sharp,,
